StoreName,StoreChain,PostalCode,City,Latitude,Longitude,CouponTitle,Category,Discount,ValidFrom,ValidUntil
Migros Zurich City,Migros,8000,Zurich,47.3769,8.5417,30% off Milk,Dairy,30,2026-05-24,2026-05-31
Migros Zurich City,Migros,8000,Zurich,47.3769,8.5417,20% off Apples,Produce,20,2026-05-24,2026-05-31
Migros Zurich City,Migros,8000,Zurich,47.3769,8.5417,25% off Yogurt,Dairy,25,2026-05-24,2026-05-31
Migros Zurich City,Migros,8000,Zurich,47.3769,8.5417,15% off Tomatoes,Produce,15,2026-05-24,2026-05-31
Migros Zurich City,Migros,8000,Zurich,47.3769,8.5417,20% off Pasta,Pantry,20,2026-05-24,2026-05-31
Coop Zurich Center,Coop,8000,Zurich,47.3769,8.5417,25% off Bread,Bakery,25,2026-05-24,2026-05-31
Coop Zurich Center,Coop,8000,Zurich,47.3769,8.5417,20% off Eggs,Dairy,20,2026-05-24,2026-05-31
Coop Zurich Center,Coop,8000,Zurich,47.3769,8.5417,30% off Chicken Breast,Meat,30,2026-05-24,2026-05-31
Coop Zurich Center,Coop,8000,Zurich,47.3769,8.5417,15% off Bananas,Produce,15,2026-05-24,2026-05-31
Coop Zurich Center,Coop,8000,Zurich,47.3769,8.5417,25% off Rice,Pantry,25,2026-05-24,2026-05-31

Migros Luzern Bahnhof,Migros,6003,Luzern,47.0502,8.3093,20% off Milk,Dairy,20,2026-05-24,2026-05-31
Migros Luzern Bahnhof,Migros,6003,Luzern,47.0502,8.3093,25% off Apples,Produce,25,2026-05-24,2026-05-31
Migros Luzern Bahnhof,Migros,6003,Luzern,47.0502,8.3093,30% off Chicken,Meat,30,2026-05-24,2026-05-31
Migros Luzern Bahnhof,Migros,6003,Luzern,47.0502,8.3093,15% off Bread,Bakery,15,2026-05-24,2026-05-31
Migros Luzern Bahnhof,Migros,6003,Luzern,47.0502,8.3093,20% off Yogurt,Dairy,20,2026-05-24,2026-05-31
Coop Luzern City,Coop,6004,Luzern,47.0502,8.3093,25% off Eggs,Dairy,25,2026-05-24,2026-05-31
Coop Luzern City,Coop,6004,Luzern,47.0502,8.3093,20% off Tomatoes,Produce,20,2026-05-24,2026-05-31
Coop Luzern City,Coop,6004,Luzern,47.0502,8.3093,30% off Cheese,Dairy,30,2026-05-24,2026-05-31
Coop Luzern City,Coop,6004,Luzern,47.0502,8.3093,15% off Pasta,Pantry,15,2026-05-24,2026-05-31
Coop Luzern City,Coop,6004,Luzern,47.0502,8.3093,20% off Bananas,Produce,20,2026-05-24,2026-05-31

Migros Zug Metalli,Migros,6300,Zug,47.1662,8.5155,20% off Milk,Dairy,20,2026-05-24,2026-05-31
Migros Zug Metalli,Migros,6300,Zug,47.1662,8.5155,25% off Bread,Bakery,25,2026-05-24,2026-05-31
Migros Zug Metalli,Migros,6300,Zug,47.1662,8.5155,30% off Chicken Breast,Meat,30,2026-05-24,2026-05-31
Migros Zug Metalli,Migros,6300,Zug,47.1662,8.5155,15% off Potatoes,Produce,15,2026-05-24,2026-05-31
Migros Zug Metalli,Migros,6300,Zug,47.1662,8.5155,20% off Coffee,Drinks,20,2026-05-24,2026-05-31
Coop Zug Neustadt,Coop,6300,Zug,47.1662,8.5155,25% off Eggs,Dairy,25,2026-05-24,2026-05-31
Coop Zug Neustadt,Coop,6300,Zug,47.1662,8.5155,20% off Apples,Produce,20,2026-05-24,2026-05-31
Coop Zug Neustadt,Coop,6300,Zug,47.1662,8.5155,30% off Salmon,Fish,30,2026-05-24,2026-05-31
Coop Zug Neustadt,Coop,6300,Zug,47.1662,8.5155,15% off Rice,Pantry,15,2026-05-24,2026-05-31
